Pravin Kumbhare,fd420597cf5f4b2684f59a2c6b9a08fd,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Brilliant,"Best mobile with best exchange offer with buyback guarantee. I am just loving it.  Good choice  this festive season.
 
 

   READ MORE
  
",11,3,24-Sep-17
Sandeep Parmar,a0efba8b58194a4faa54ce6da93001b8,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,4,Very Good,"Product is really good,long lasting battery back,fast charging and camera quality is damn good. Guys i recommend this phone for those who are intrested in buying iphone 6 or 6s or eqvilent.
 
 

   READ MORE
  
",11,3,06-Jun-17
manthan  shah,13bad3d4a1d6439ab77583823b6b3309,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,3,Met Expectations,"only for camera features.....
 
 

   READ MORE
  
",11,3,13-Apr-17
Tarun Sharma,3c91d57ecb64468d9eeabc4bccd77e83,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Highly recommended,"I bought OPPO F3 plus on 15.05.2017
  
  This is the best android mobile. I have used past one week. See my comments below:
  

  1. Camera - 9.5/10
  
  2. Battery backup - 9.5/10
  
  3. Speed & Performance - 9.5/10
  
  4. Display - 9.5/10
  
  5. Marshmallow 6.0 is very good performance and do not update 6.0.1
  

  Overall is good and I don't see any negative things.
  

  Finally I would like to say THANK YOU SO MUCH Flipkart and team members...
 
 

   READ MORE
  
",4,0,17-Oct-17
shripad kudtarkar,392b5d860a1a4af3b540b220f706b6a2,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Nice product,"I have just one complaint. What was Oppo thinking not showing you notification when you pull discount from the status bar, It shows only quick settings and then you have to swipe left to access notifications. This is the stupidest implementation of notifications in a modern phone.
  
  Barring this stupid thing, phone is good. Good screen, good performance, good looks.
  

  Hope this notification thing is fixed with Android 7.0 update
 
 

   READ MORE
  
",52,35,27-May-17
sabir hussain Ansari,a57bc377afbc4073b483b23fc427ee84,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Awesome,"Nice
 
 

   READ MORE
  
",41,25,03-Apr-17
Flipkart Customer,2f735b147dad47e8bb70367a4e8775f5,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Excellent,"Superb.. Loving
 
 

   READ MORE
  
",6,1,09-Jun-17
Shubham Bhosale,a9873d17d04e49d1b470ad91c370fb88,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Just wow!,"very good performance....OPPO F3 Plus......nice phone better than i phone....i like it
 
 

   READ MORE
  
",11,4,05-May-17
Flipkart Customer,6da07d098ab348e7a986e83b96f3b28f,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Fabulous!,"AmAzing phone by oppo
 
 

   READ MORE
  
",41,28,04-Apr-17
VISHAL SINGH  BHATTHAL ,24fce80edadd4542a79771f6f2525503,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,1,Brilliant,"Oppo f3 plut phone is coming with the minor cosmetic defect please be careful while buying I have purchased two phones both of them has a defect on a screen which is visible on a particular angle be careful
 
 

   READ MORE
  
",15,7,13-Oct-17
